titles,views_title,imdb_rating
Mathlete's Feat,47429,6.9
Lisa the Veterinarian,174,6.3
Paths of Glory,170,7.1
Puffless,160,7.2
Brush with Greatness,58561,8
Flaming Moe's,58968,8.8
Bart the General,63129,8.1
"Brother, Can You Spare Two Dimes?",50936,8.2
Homer the Heretic,64605,9
Cape Feare,65585,9
Bart's Inner Child,74139,7.7
Deep Space Homer,75439,8.8
Sweet Seymour Skinner's Baadasssss Song,66406,8.4
The Boy Who Knew Too Much,74427,8.2
Treehouse of Horror V,119295,9
Who Shot Mr. Burns? (Part One),86070,9.1
You Only Move Twice,79609,9.2
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),64743,8.5
Homer's Enemy,74177,9.2
Treehouse of Horror VIII,30963,8.1
The Two Mrs. Nahasapeemapetilons,19419,7.7
D'oh-in' in the Wind,45779,7.6
Skinner's Sense of Snow,56755,8
HOMR,68784,8
Trilogy of Error,53728,8.6
Poppa's Got a Brand New Badge,53639,8
Treehouse of Horror XIII,71817,7.6
Holidays of Future Passed,69460,8.2
Simpsorama,48223,7.9
Halloween of Horror,196,7.5
To Courier with Love,192,6.7
Homer's Odyssey,78072,7.5
Grift of the Magi,48070,7.3
A Tale of Two Springfields,40990,7.4
Homer vs. Dignity,44005,7.2
The Old Man and the Key,41049,6.5
'Scuse Me While I Miss the Sky,43756,7.1
Margical History Tour,42492,7.1
Mobile Homer,45489,7
Don't Fear the Roofer,41620,7.4
The Seemingly Never-Ending Story,48854,7.4
"Homer Simpson, This Is Your Wife",41323,6.5
The Wettest Stories Ever Told,42280,6.7
Midnight Towboy,35926,7.2
Homer and Lisa Exchange Cross Words,38879,7.1
Coming to Homerica,6477,7.2
Treehouse of Horror XX,66209,7.3
American History X-cellent,44645,6.7
The Squirt and the Whale,40632,6.9
Treehouse of Horror XXI,61954,7.1
The Man in the Blue Flannel Pants,41687,6.8
Dark Knight Court,44170,7.1
The Saga of Carl,42996,7.2
You Don't Have to Live Like a Referee,42080,6.9
The Princess Guide,34137,6.6
How Lisa Got Her Marge Back,188,6.4
Orange Is the New Yellow,276,6.9
Monty Burns' Fleeing Circus,994,6.6
