id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
564,The Musk Who Fell to Earth,1/25/15,TABF04,26,12,564,3.29,35848,5.8
570,Peeping Mom,4/19/15,TABF11,26,18,570,3.23,40157,6.7
9,Life on the Fast Lane,3/18/90,7G11,1,9,9,33.5,64776,7.5
11,The Crepes of Wrath,4/15/90,7G13,1,11,11,31.2,60458,7.8
13,Some Enchanted Evening,5/13/90,7G01,1,13,13,27.1,57590,7.9
15,Simpson and Delilah,10/18/90,7F02,2,2,15,29.9,58553,8.3
16,Treehouse of Horror,10/25/90,7F04,2,3,16,27.4,130282,8.2
18,Dancin' Homer,11/8/90,7F05,2,5,18,26.1,49005,7.5
20,Bart vs. Thanksgiving,11/22/90,7F07,2,7,20,25.9,47539,7.7
22,Itchy & Scratchy & Marge,12/20/90,7F09,2,9,22,22.2,55413,8.1
25,The Way We Was,1/31/91,7F11,2,12,25,26.8,51182,8.2
27,Principal Charming,2/14/91,7F15,2,14,27,23.9,46823,7.5
29,"Bart's Dog Gets an ""F""",3/7/91,7F14,2,16,29,23.9,47780,7.5
33,The War of the Simpsons,5/2/91,7F20,2,20,33,19.7,51997,7.9
573,Bull-E,5/10/15,TABF15,26,21,573,2.77,43978,6.8
576,Cue Detective,10/4/15,TABF17,27,2,576,6.02,178,6.7
580,Friend with Benefit,11/8/15,TABF21,27,6,580,3.48,175,6.8
583,Barthood,12/13/15,VABF02,27,9,583,5.97,182,8.4
585,Teenage Mutant Milk-Caused Hurdles,1/10/16,VABF04,27,11,585,8.33,172,6.8
598,"Friends and Family""[203]",10/2/16,VABF18,28,2,598,,,
599,"The Town""[205]",10/9/16,VABF17,28,3,599,,,
600,"Treehouse of Horror XXVII""[207]",10/16/16,VABF16,28,4,600,,,
588,Gal of Constant Sorrow,2/21/16,VABF06,27,14,588,3.1,144,6.6
590,The Marge-ian Chronicles,3/13/16,VABF09,27,16,590,3.07,201,7.3
593,Fland Canyon,4/24/16,VABF12,27,19,593,2.77,192,7.1
595,Simprovised,5/15/16,VABF13,27,21,595,2.8,228,6.4
1,Simpsons Roasting on an Open Fire,12/17/89,7G08,1,1,1,26.7,171408,8.2
2,Bart the Genius,1/14/90,7G02,1,2,2,24.5,91423,7.8
4,There's No Disgrace Like Home,1/28/90,7G04,1,4,4,20.2,67378,7.8
6,Moaning Lisa,2/11/90,7G06,1,6,6,27.4,55355,7.6
8,The Telltale Head,2/25/90,7G07,1,8,8,28,66311,7.7
34,Three Men and a Comic Book,5/9/91,7F21,2,21,34,21,50403,8.4
36,Stark Raving Dad,9/19/91,7F24,3,1,36,22.9,55238,8.6
38,When Flanders Failed,10/3/91,7F23,3,3,38,22.8,53499,8.2
40,Homer Defined,10/17/91,8F04,3,5,40,20.6,50601,8.5
78,The Front,4/15/93,9F16,4,19,78,20.1,53404,8.1
